Product Name,Euro Price,Gender,Color,Company
Zw Collection Mid-Waist Baggy Jeans,49.95,Female,Black,Zara
Zw Collection Mid-Waist Baggy Jeans,49.95,Female,Blue,Zara
Zw Collection Pleated Cotton Trousers,49.95,Female,Blue,Zara
Zw Collection Pleated Cotton Trousers,49.95,Female,White,Zara
Zw Collection Relaxed Mid-Waist Jeans,49.95,Female,Blue,Zara
Zw Collection Wide-Leg High-Waist Jeans,39.95,Female,White,Zara
Zw Collection Wide-Leg High-Waist Jeans,39.95,Female,Black,Zara
Zw Collection Wide-Leg High-Waist Jeans,39.95,Female,Grey,Zara
Zw Collection Wide-Leg High-Waist Jeans,39.95,Female,Blue,Zara
Baggy Fit Jeans © Otis Kwame Kye Quaicoe,49.95,Male,Blue,Zara
Cropped Wide-Leg Denim Trousers,69.95,Male,Blue,Zara
Denim Cargo Trousers With Pockets,59.95,Male,Black,Zara
Denim Cargo Trousers With Pockets,59.95,Male,Brown,Zara
Denim Cargo Trousers With Pockets,59.95,Male,Green,Zara
Denim Cargo Trousers With Pockets,59.95,Male,Blue,Zara
Denim Chinos Limited Edition,59.95,Male,White,Zara
Flare Fit Jeans,49.95,Male,Black,Zara
Flare Fit Jeans,49.95,Male,Grey,Zara
Flare Fit Jeans,49.95,Male,Blue,Zara
Lightweight Loose Wide-Leg Jeans,39.95,Male,Black,Zara
Lightweight Loose Wide-Leg Jeans,39.95,Male,Blue,Zara
Limited Edition Barrel Fit Jeans,59.95,Male,Brown,Zara
Loose Fit Splatter Jeans,49.95,Male,Grey,Zara
Loose Fit Splatter Jeans,49.95,Male,Blue,Zara
Printed Baggy Fit Jeans,59.95,Male,Blue,Zara
Regular Straight-Leg Jeans,39.95,Male,White,Zara
Relaxed Fit Jeans,59.95,Male,Brown,Zara
Relaxed Fit Jeans,59.95,Male,White,Zara
Relaxed Fit Jogger Jeans,39.95,Male,Blue,Zara
Relaxed Fit Limited Edition Jeans,59.95,Male,Blue,Zara
Ripped Skinny Fit Jeans,49.95,Male,Brown,Zara
Ripped Skinny Fit Jeans,49.95,Male,Blue,Zara
Ripped Skinny Fit Jeans,49.95,Male,Black,Zara
Ripped Skinny Fit Jeans,49.95,Male,Grey,Zara
Ripped Skinny Fit Jeans,49.95,Male,White,Zara
Skinny Cropped Fit Jeans,39.95,Male,Blue,Zara
Skinny Cropped Fit Jeans,39.95,Male,Black,Zara
Slim Fit Cropped Jeans,29.95,Male,Blue,Zara
Slim Fit Cropped Jeans,29.95,Male,Black,Zara
Slim Fit Jeans,29.95,Male,White,Zara
Slim Fit Jeans,29.95,Male,Black,Zara
Slim Fit Jeans,29.95,Male,Blue,Zara
Slim Fit Jeans,29.95,Male,Grey,Zara
Slim Fit Straight-Leg Jeans,59.95,Male,Blue,Zara
Slim Fit Tapered Jeans,39.95,Male,Blue,Zara
Slim Fit Tapered Jeans,39.95,Male,Black,Zara
Slim Fit Tapered Jeans,39.95,Male,Grey,Zara
Straight Ankle Fit Jeans,55.95,Male,White,Zara
Straight Fit Jeans,39.95,Male,Grey,Zara
Straight Fit Jeans,39.95,Male,Black,Zara
Straight Fit Jeans,39.95,Male,Blue,Zara
Timeless Slim Fit Jeans,59.95,Male,Blue,Zara
Washed Effect Carpenter Trousers,49.95,Male,Green,Zara
Wide Baggy Fit Jeans,39.95,Male,Blue,Zara
Fluid Ripped Wide-Leg Jeans,17.95,Kid,Blue,Zara
Lace Culottes Jeans,19.95,Kid,Blue,Zara
Marine Jeans,17.95,Kid,Blue,Zara
Marine Jeans,17.95,Kid,Black,Zara
Floral Twill Marine Trousers,17.95,Kid,Multicolor,Zara
Marine Twill Trousers With Dart Detail,17.95,Kid,Pink,Zara
Marine Twill Trousers With Dart Detail,17.95,Kid,White,Zara
Straight Jeans With Heart Print,19.95,Kid,Blue,Zara
Ribbon Straight-Leg Jeans,19.95,Kid,Blue,Zara
Striped Straight Twill Trousers,19.95,Kid,Pink,Zara
Mom Fit Jeans,16.95,Kid,Black,Zara
Mom Fit Jeans,16.95,Kid,Blue,Zara
Balloon Jeans,17.95,Kid,Blue,Zara
Loose-Fitting Relaxed Fit Denim,16.95,Kid,Blue,Zara
Washed-Effect Twill Balloon Trousers,15.95,Kid,Green,Zara
Washed-Effect Twill Balloon Trousers,15.95,Kid,Grey,Zara
Mickey Mouse © Disney Balloon Twill Trousers,19.95,Kid,Blue,Zara
Mickey Mouse © Disney Balloon Twill Trousers,19.95,Kid,White,Zara
Twill Dungarees With Embroidered Flowers,22.95,Kid,Pink,Zara
Wavy And Floral Embroidered Denim Dungarees,22.95,Kid,Blue,Zara
Striped Twill Dungarees,22.95,Kid,Pink,Zara
Combination Denim Dungarees,19.95,Kid,Blue,Zara
Baggy Denim Trousers,17.95,Kid,Blue,Zara
Twill Cargo Joggers,17.95,Kid,White,Zara
Twill Cargo Joggers,17.95,Kid,Grey,Zara
Basic Denim Leggings,9.95,Kid,Blue,Zara
Basic Denim Leggings,9.95,Kid,Black,Zara
Comfort Cargo Jeans,17.95,Kid,Blue,Zara
Mom Fit Jeans,22.95,Kid,Black,Zara
Mom Fit Jeans,22.95,Kid,Blue,Zara
Barrel Jeans,25.95,Kid,Blue,Zara
Barrel Jeans,25.95,Kid,Blue,Zara
Balloon Jeans,25.95,Kid,Blue,Zara
Faded Wide-Leg Jeans,25.95,Kid,Blue,Zara
Wide-Leg Jeans,25.95,Kid,Grey,Zara
Wide-Leg Jeans,25.95,Kid,Blue,Zara
Star Wide-Leg Jeans,27.95,Kid,Grey,Zara
Wide-Leg Jeans With Embroidered Butterflies,27.95,Kid,Pink,Zara
Kuromi © Sanrio Wide-Leg Denim Trousers,29.95,Kid,Blue,Zara
Wide-Leg Jeans With Star Patches,29.95,Kid,Blue,Zara
Marine Jeans,22.95,Kid,Blue,Zara
Marine Jeans,22.95,Kid,Black,Zara
Marine Jeans,22.95,Kid,Grey,Zara
Marine Jeans,22.95,Kid,Pink,Zara
