Product_Name,euro_price,gender,Color,company
regular straight-leg jeans,39.95,M,white,Zara
relaxed fit jeans,59.95,M,brown,Zara
relaxed fit jeans,59.95,M,white,Zara
relaxed fit jogger jeans,39.95,M,blue,Zara
relaxed fit limited edition jeans,59.95,M,blue,Zara
ripped skinny fit jeans,49.95,M,brown,Zara
ripped skinny fit jeans,49.95,M,blue,Zara
ripped skinny fit jeans,49.95,M,black,Zara
ripped skinny fit jeans,49.95,M,grey,Zara
ripped skinny fit jeans,49.95,M,white,Zara
skinny cropped fit jeans,39.95,M,blue,Zara
skinny cropped fit jeans,39.95,M,black,Zara
slim fit cropped jeans,29.95,M,blue,Zara
slim fit cropped jeans,29.95,M,black,Zara
slim fit jeans,29.95,M,white,Zara
slim fit jeans,29.95,M,black,Zara
slim fit jeans,29.95,M,blue,Zara
slim fit jeans,29.95,M,grey,Zara
slim fit straight-leg jeans,59.95,M,blue,Zara
slim fit tapered jeans,39.95,M,blue,Zara
slim fit tapered jeans,39.95,M,black,Zara
slim fit tapered jeans,39.95,M,grey,Zara
straight ankle fit jeans,55.95,M,white,Zara
straight fit jeans,39.95,M,grey,Zara
straight fit jeans,39.95,M,black,Zara
straight fit jeans,39.95,M,blue,Zara
timeless slim fit jeans,59.95,M,blue,Zara
washed effect carpenter trousers,49.95,M,green,Zara
wide baggy fit jeans,39.95,M,blue,Zara
fluid ripped wide-leg jeans,17.95,Kid,blue,Zara
lace culottes jeans,19.95,Kid,blue,Zara
marine jeans,17.95,Kid,blue,Zara
marine jeans,17.95,Kid,black,Zara
floral twill marine trousers,17.95,Kid,multicolor,Zara
marine twill trousers with dart detail,17.95,Kid,pink,Zara
marine twill trousers with dart detail,17.95,Kid,white,Zara
straight jeans with heart print,19.95,Kid,blue,Zara
ribbon straight-leg jeans,19.95,Kid,blue,Zara
striped straight twill trousers,19.95,Kid,pink,Zara
mom fit jeans,16.95,Kid,black,Zara
mom fit jeans,16.95,Kid,blue,Zara
balloon jeans,17.95,Kid,blue,Zara
loose-fitting relaxed fit denim,16.95,Kid,blue,Zara
washed-effect twill balloon trousers,15.95,Kid,green,Zara
washed-effect twill balloon trousers,15.95,Kid,grey,Zara
mickey mouse © disney balloon twill trousers,19.95,Kid,blue,Zara
mickey mouse © disney balloon twill trousers,19.95,Kid,white,Zara
twill dungarees with embroidered flowers,22.95,Kid,pink,Zara
wavy and floral embroidered denim dungarees,22.95,Kid,blue,Zara
striped twill dungarees,22.95,Kid,pink,Zara
combination denim dungarees,19.95,Kid,blue,Zara
baggy denim trousers,17.95,Kid,blue,Zara
twill cargo joggers,17.95,Kid,white,Zara
twill cargo joggers,17.95,Kid,grey,Zara
basic denim leggings,9.95,Kid,blue,Zara
basic denim leggings,9.95,Kid,black,Zara
comfort cargo jeans,17.95,Kid,blue,Zara
mom fit jeans,22.95,Kid,Black,Zara
mom fit jeans,22.95,Kid,blue,Zara
barrel jeans,25.95,Kid,Blue,Zara
barrel jeans,25.95,Kid,blue,Zara
balloon jeans,25.95,Kid,blue,Zara
faded wide-leg jeans,25.95,Kid,blue,Zara
wide-leg jeans,25.95,Kid,Grey,Zara
wide-leg jeans,25.95,Kid,blue,Zara
star wide-leg jeans,27.95,Kid,grey,Zara
wide-leg jeans with embroidered butterflies,27.95,Kid,pink,Zara
kuromi © sanrio wide-leg denim trousers,29.95,Kid,blue,Zara
wide-leg jeans with star patches,29.95,Kid,blue,Zara
marine jeans,22.95,Kid,blue,Zara
marine jeans,22.95,Kid,black,Zara
marine jeans,22.95,Kid,Grey,Zara
marine jeans,22.95,Kid,Pink,Zara
wide-leg jeans,19.95,Kid,black,Zara
wide-leg jeans,19.95,Kid,blue,Zara
jeans flare,22.95,Kid,blue,Zara
flare jeans,22.95,Kid,black,Zara
frayed bootcut jeans,27.95,Kid,blue,Zara
wide-leg jeans,22.95,Kid,Grey,Zara
slim waist wide-leg jeans,22.95,Kid,blue,Zara
wide-leg drawstring jeans,22.95,Kid,grey,Zara
wide-leg jeans,22.95,Kid,blue,Zara
basic skinny jeans,17.95,Kid,blue,Zara
basic skinny jeans,17.95,Kid,black,Zara
embroidered straight-leg denim trousers,27.95,Kid,blue,Zara
striped straight-leg trousers,25.95,Kid,pink,Zara
ripped wide leg jeans,25.95,Kid,blue,Zara
straight-leg jeans with hems,25.95,Kid,white,Zara
wide-leg jeans,25.95,Kid,black,Zara
flowing wide-leg trousers,19.95,Kid,Blue,Zara
flowing wide-leg trousers,19.95,Kid,white,Zara
tie-dye wide-leg jeans,27.95,Kid,white,Zara
wide-leg jeans,25.95,Kid,white,Zara
flowing wide-leg trousers,22.95,Kid,white,Zara
flowing wide-leg trousers,22.95,Kid,pink,Zara
ripped baggy jeans,17.95,Kid,blue,Zara
ripped baggy jeans,17.95,Kid,black,Zara
mickey mouse © disney patches twill baggy trousers,19.95,Kid,White,Zara
mickey mouse © disney baggy jeans,19.95,Kid,blue,Zara
cargo jeans,19.95,Kid,blue,Zara
straight fit jeans,15.95,Kid,blue,Zara
straight fit jeans,15.95,Kid,Blue,Zara
straight fit jeans,15.95,Kid,black,Zara
straight fit jeans,15.95,Kid,Grey,Zara
balloon denim trousers,19.95,Kid,Black,Zara
balloon denim trousers,19.95,Kid,black,Zara
washed-effect twill balloon trousers,15.95,Kid,Grey,Zara
basic skinny jeans,15.95,Kid,blue,Zara
basic skinny jeans,15.95,Kid,black,Zara
striped straight twill trousers,19.95,Kid,red,Zara
striped straight twill trousers,19.95,Kid,Red,Zara
balloon jeans with elastic trim,22.95,Kid,blue,Zara
balloon jeans with elastic trim,22.95,Kid,grey,Zara
splatter print relaxed balloon jeans,25.95,Kid,blue,Zara
striped balloon denim trousers,25.95,Kid,blue,Zara
skinny fit jeans,17.95,Kid,blue,Zara
skinny fit jeans,17.95,Kid,black,Zara
ripped skinny fit jeans,19.95,Kid,blue,Zara
relaxed baggy jeans,22.95,Kid,blue,Zara
relaxed baggy jeans,22.95,Kid,grey,Zara
ripped relaxed baggy jeans,25.95,Kid,blue,Zara
barrel denim trousers,25.95,Kid,grey,Zara
pleated balloon-fit denim trousers,22.95,Kid,blue,Zara
multicargo jeans,27.95,Kid,black,Zara
wide-fit jeans with turn-up hems,25.95,Kid,blue,Zara
label denim long dungarees,45.95,Kid,blue,Zara
carpenter denim trousers,22.95,Kid,white,Zara
loose-fitting straight-leg jeans,19.95,Kid,blue,Zara
baggy fit jeans,22.95,Kid,blue,Zara
baggy denim trousers,25.95,Kid,blue,Zara
Solal jeans,316.25,M,blue,A.P.C.
Martin jeans,293.25,M,blue,A.P.C.
Martin jeans,270.25,M,black,A.P.C.
Martin jeans,247.25,M,blue,A.P.C.
Martin jeans,270.25,M,blue,A.P.C.
Achille jeans,316.25,M,blue,A.P.C.
Aaron jeans,270.25,M,blue,A.P.C.
Aaron jeans,293.25,M,blue,A.P.C.
Standard Jeans,247.25,M,blue,A.P.C.
Petit Standard Jeans,247.25,M,blue,A.P.C.
Petit New Standard Jeans,247.25,M,blue,A.P.C.
New Standard Jeans,247.25,M,blue,A.P.C.
New Standard jeans,270.25,M,black,A.P.C.
New Standard jeans,270.25,M,blue,A.P.C.
Fairfax jeans,270.25,M,blue,A.P.C.
Fairfax jeans,293.25,M,blue,A.P.C.
Fairfax jeans,293.25,M,black,A.P.C.
Fairfax jeans,316.25,M,white,A.P.C.
Fergus jeans,293.25,M,blue,A.P.C.
Achille jeans,270.25,M,blue,A.P.C.
Achille jeans,293.25,M,blue,A.P.C.
Achille jeans,253.06,M,white,A.P.C.
Martin jeans,270.25,M,white,A.P.C.
New Standard Jeans,247.25,M,black,A.P.C.
New Standard jeans,304.75,M,blue,A.P.C.
Petit New Standard Jeans,247.25,M,black,A.P.C.
Fairfax jeans,316.25,M,blue,A.P.C.
Fairfax jeans,293.25,M,brown,A.P.C.
Fairfax jeans,293.25,M,white,A.P.C.
Relaxed Jean H,316.25,M,blue,A.P.C.
Emilie jeans,270.25,F,blue,A.P.C.
Romy jeans,316.25,F,blue,A.P.C.
Romy jeans,316.25,F,black,A.P.C.
Romy jeans,316.25,F,red,A.P.C.
Elisabeth jeans,316.25,F,blue,A.P.C.
Elisabeth jeans,270.25,F,blue,A.P.C.
Elisabeth jeans,293.25,F,black,A.P.C.
Elisabeth jeans,293.25,F,blue,A.P.C.
Seaside jeans,316.25,F,blue,A.P.C.
Seaside jeans,293.25,F,black,A.P.C.
Seaside jeans,270.25,F,blue,A.P.C.
Seaside jeans,293.25,F,blue,A.P.C.
New Sailor jeans,270.25,F,black,A.P.C.
New Sailor jeans,247.25,F,blue,A.P.C.
New Sailor jeans,270.25,F,blue,A.P.C.
Elisabeth jeans,316.25,F,white,A.P.C.
Standard Jeans,247.25,F,blue,A.P.C.
Elisabeth jeans,304.75,F,blue,A.P.C.
Elisabeth jeans,270.25,F,white,A.P.C.
Elisabeth jeans,293.25,F,brown,A.P.C.
Elisabeth jeans,293.25,F,white,A.P.C.
Seaside jeans,293.25,F,white,A.P.C.
New Sailor jeans,270.25,F,white,A.P.C.
Naomi jeans,270.25,F,blue,A.P.C.
Wide High Ankle Jeans,34.99,Women,Blue,H&M
Wide High Ankle Jeans,34.99,Women,Brown,H&M
Wide High Ankle Jeans,34.99,Women,White,H&M
Wide High Jeans,29.99,Women,Black,H&M
Wide High Jeans,29.99,Women,Blue,H&M
Wide High Jeans,29.99,Women,Gray,H&M
Wide High Jeans,34.99,Women,Black,H&M
Wide High Jeans,34.99,Women,White,H&M
Skinny High Jeans,24.99,Women,Black,H&M
Skinny High Jeans,24.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Gray,H&M
Flared High Jeans,24.99,Women,Blue,H&M
Flared High Jeans,24.99,Women,White,H&M
Wide High Jeans,29.99,Women,White,H&M
Flared High Jeans,29.99,Women,Blue,H&M
Flared High Jeans,29.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,Black,H&M
Wide Ultra High Jeans,29.99,Women,Blue,H&M
Wide Regular Jeans,29.99,Women,Blue,H&M
Weite Jeans,29.99,Women,Black,H&M
Weite Jeans,29.99,Women,Blue,H&M
Wide High Jeans,29.99,Women,Red,H&M
Flared Low Jeans,22.99,Women,Black,H&M
Flared Low Jeans,22.99,Women,Blue,H&M
Flared Low Jeans,29.99,Women,Black,H&M
Flared Low Jeans,29.99,Women,Gray,H&M
Wide High Ankle Jeans,34.99,Women,Black,H&M
Flared High Jeans,19.99,Women,Gray,H&M
Flared High Jeans,19.99,Women,White,H&M
Straight High Jeans,39.99,Women,Gray,H&M
Weite Jeans,29.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,White,H&M
Barrel High Jeans,39.99,Women,Black,H&M
Barrel High Jeans,39.99,Women,Gray,H&M
Slim Straight High Ankle Jeans,29.99,Women,Blue,H&M
Slim Straight High Ankle Jeans,29.99,Women,Gray,H&M
Skinny Regular Ankle Jeans,39.99,Women,Black,H&M
Skinny Regular Ankle Jeans,39.99,Women,Gray,H&M
Denimhose mit Kordelzug,24.99,Women,Black,H&M
Denimhose mit Kordelzug,24.99,Women,Blue,H&M
True To You Skinny Ultra High Ankle Jeans,49.99,Women,Blue,H&M
Slim Mom High Ankle Jeans,29.99,Women,Black,H&M
Wide High Jeans,44.99,Women,Gray,H&M
Wide High Jeans,44.99,Women,White,H&M
Wide Ultra High Jeans,29.99,Women,Gray,H&M
MAMA Before & After Straight Low Ankle Jeans,44.99,Women,Gray,H&M
Straight Regular Jeans,29.99,Men,Black,H&M
Straight Regular Jeans,29.99,Men,Blue,H&M
Straight Regular Jeans,29.99,Men,Gray,H&M
Baggy Jeans,39.99,Men,Blue,H&M
Baggy Jeans,39.99,Men,Gray,H&M
Relaxed Jeans,34.99,Men,Black,H&M
Relaxed Jeans,34.99,Men,Gray,H&M
Loose Jeans,39.99,Men,Black,H&M
Loose Jeans,39.99,Men,Gray,H&M
Regular Tapered Jeans,39.99,Men,Black,H&M
Regular Tapered Jeans,39.99,Men,Blue,H&M
Regular Tapered Jeans,39.99,Men,Gray,H&M
Bootcut Regular Jeans,49.99,Men,Black,H&M
Bootcut Regular Jeans,49.99,Men,Blue,H&M
Relaxed Jeans,39.99,Men,Black,H&M
Relaxed Jeans,39.99,Men,Blue,H&M
Loose Straight Jeans,39.99,Men,Black,H&M
Loose Straight Jeans,39.99,Men,Gray,H&M
